dup_id,dup_name,dup_src,dup_works,dup_events,dup_curated,dup_q,canon_id,canon_name,canon_src,canon_works,canon_curated,canon_q,inter_rel,conf
wei-zhuang-gong,卫庄公,shiji-kb,0,0,0,38,ji-kuai-kui,姬蒯聩,shiji-kb,0,0,38,,MED
ji-kuai-kui,姬蒯聩,shiji-kb,0,0,0,38,kuai-kui,蒯聩,shiji-kb,0,0,39,,MED
zhuan-sun-shi,颛孙师,shiji-kb,0,0,0,20,zi-zhang,子张,shiji-kb,0,0,43,,MED
yan-yan,言偃,shiji-kb,0,0,0,20,zi-you-2,子游,shiji-kb,0,0,35,,MED
si-cheng-zi-han,司城子罕,shiji-kb,0,0,0,19,zi-han,子罕,shiji-kb,0,0,30,,MED
gao-chai,高柴,shiji-kb,0,0,0,20,zi-gao,子羔,shiji-kb,0,0,33,,MED
sun-wen-zi,孙文子,shiji-kb,0,0,0,20,sun-lin-fu,孙林父,shiji-kb,0,0,37,,MED
tian-wen,田文,shiji-kb,0,0,0,47,meng-chang-jun,孟尝君,shiji-kb,0,0,47,,MED
meng-chang,孟尝,shiji-kb,0,0,0,25,meng-chang-jun,孟尝君,shiji-kb,0,0,47,,MED
meng-ming,孟明,shiji-kb,0,0,0,25,meng-ming-shi,孟明视,shiji-kb,0,0,40,,MED
gong-ji,公季,shiji-kb,0,0,0,22,ji-li,季历,shiji-kb,0,0,31,,MED
cheng-ji,成季,shiji-kb,0,0,0,27,ji-you,季友,shiji-kb,0,0,46,,MED
yan-ling-ji-zi,延陵季子,shiji-kb,0,0,0,25,ji-zha,季札,shiji-kb,0,0,46,,MED
wei-zi,微子,shiji-kb,0,0,0,28,song-wei-zi,宋微子,shiji-kb,0,0,46,,MED
zi-fu-2,兹甫,shiji-kb,0,0,0,22,song-xiang-gong,宋襄公,shiji-kb,0,0,47,,MED
zi-jian,子贱,shiji-kb,0,0,0,20,mi-bu-qi,宓不齐,shiji-kb,0,0,31,,MED
zai-wo,宰我,shiji-kb,0,0,0,20,zai-yu,宰予,shiji-kb,0,0,41,,MED
zi-wo,子我,shiji-kb,0,0,0,24,zai-yu,宰予,shiji-kb,0,0,41,,MED
qu-gai-2,屈匄,shiji-kb,0,0,0,27,qu-gai,屈丐,shiji-kb,0,0,36,,MED
di-kong-jia,帝孔甲,shiji-kb,0,0,0,28,kong-jia,孔甲,shiji-kb,0,0,30,,MED
di-ku,帝俈,shiji-kb,0,0,0,30,di-ku-2,帝喾,shiji-kb,0,0,46,,MED
zhuan-xu,颛顼,shiji-kb,0,0,0,42,di-zhuan-xu,帝颛顼,shiji-kb,0,0,46,,MED
chang-shan-xian-wang,常山宪王,shiji-kb,0,0,0,43,liu-shun,刘舜,shiji-kb,0,0,46,,MED
ping-yuan-jun,平原君,shiji-kb,0,0,0,47,zhao-sheng,赵胜,shiji-kb,0,0,48,,MED
ping-yang-gong-zhu,平阳公主,shiji-kb,0,0,0,28,ping-yang-zhu,平阳主,shiji-kb,0,0,37,,MED
qing-di,青翟,shiji-kb,0,0,0,24,zhuang-qing-di,庄青翟,shiji-kb,0,0,36,,MED
wang-qing-ji,王庆忌,shiji-kb,0,0,0,25,qing-ji,庆忌,shiji-kb,0,0,31,,MED
xin-ping-jun,信平君,shiji-kb,0,0,0,29,lian-po,廉颇,shiji-kb,0,0,49,,MED
zhang-wang,张王,shiji-kb,0,0,0,23,zhang-ao,张敖,shiji-kb,0,0,47,,MED
zhang-chu-chu-yin-wang,张楚楚隐王,shiji-kb,0,0,0,45,chen-she,陈涉,shiji-kb,0,0,46,,MED
zhang-chu-chu-yin-wang,张楚楚隐王,shiji-kb,0,0,0,45,chen-sheng-2,陈胜,shiji-kb,0,0,46,,MED
zhang-shu,张叔,shiji-kb,0,0,0,23,zhang-ou,张欧,shiji-kb,0,0,40,,MED
zi-fang,子房,shiji-kb,0,0,0,20,zhang-liang,张良,shiji-kb,0,0,52,,MED
wen-cheng-hou,文成侯,shiji-kb,0,0,0,27,zhang-liang,张良,shiji-kb,0,0,52,,MED
liu-hou,留侯,shiji-kb,0,0,0,27,zhang-liang,张良,shiji-kb,0,0,52,,MED
zhang-cang,张仓,shiji-kb,0,0,0,27,zhang-cang-2,张苍,shiji-kb,0,0,47,,MED
xu-shi,徐市,shiji-kb,0,0,0,23,xu-fu,徐福,shiji-kb,0,0,31,,MED
qi-ji-2,戚姬,shiji-kb,0,0,0,25,qifuren,戚夫人,json,1,1,,,HIGH
wen-cheng-jiang-jun,文成将军,shiji-kb,0,0,0,22,wen-cheng,文成,shiji-kb,0,0,40,,MED
shao-weng,少翁,shiji-kb,0,0,0,20,wen-cheng,文成,shiji-kb,0,0,40,,MED
da-fu-zhong,大夫种,shiji-kb,0,0,0,19,wen-zhong,文种,shiji-kb,0,0,46,,MED
chun-shen-jun,春申君,shiji-kb,0,0,0,46,huang-xie,黄歇,shiji-kb,0,0,47,,MED
zi-yu,子圉,shiji-kb,0,0,0,23,jin-huai-gong,晋怀公,shiji-kb,0,0,40,,MED
shou-man,寿曼,shiji-kb,0,0,0,23,jin-li-gong,晋厉公,shiji-kb,0,0,46,,MED
fu-ren,服人,shiji-kb,0,0,0,22,jin-cheng-hou,晋成侯,shiji-kb,0,0,29,,MED
yi-gao,夷皋,shiji-kb,0,0,0,24,jin-ling-gong,晋灵公,shiji-kb,0,0,47,,MED
gui-zhu,诡诸,shiji-kb,0,0,0,20,jin-xian-gong,晋献公,shiji-kb,0,0,47,,MED
fei-wang,费王,shiji-kb,0,0,0,19,jin-mu-hou,晋穆侯,shiji-kb,0,0,41,,MED
jin-e-hou,晋鄂侯,shiji-kb,0,0,0,36,e-hou,鄂侯,shiji-kb,0,0,36,,MED
yan-ping-zhong,晏平仲,shiji-kb,0,0,0,23,yan-ying,晏婴,shiji-kb,0,0,47,,MED
zhi-bo-yao,智伯瑶,shiji-kb,0,0,0,27,zhi-bo,智伯,shiji-kb,0,0,41,,MED
zhuang-bo,庄伯,shiji-kb,0,0,0,27,qu-wo-zhuang-bo,曲沃庄伯,shiji-kb,0,0,34,,MED
cao-xiang-guo,曹相国,shiji-kb,0,0,0,22,cao-can,曹参,shiji-kb,0,0,47,,MED
chao-xian-wang-wei-man,朝鲜王卫满,shiji-kb,0,0,0,27,wei-man,卫满,shiji-kb,0,0,33,,MED
chao-xian-wang-you-qu,朝鲜王右渠,shiji-kb,0,0,0,29,you-qu,右渠,shiji-kb,0,0,31,,MED
cao-zi,曹子,shiji-kb,0,0,0,20,cao-mo,曹沫,shiji-kb,0,0,46,,MED
zhu-mai-chen-2,硃买臣,shiji-kb,0,0,0,27,zhu-mai-chen,朱买臣,shiji-kb,0,0,35,,MED
zhu-hai-2,硃亥,shiji-kb,0,0,0,35,zhu-hai,朱亥,shiji-kb,0,0,41,,MED
zhu-jia-2,硃家,shiji-kb,0,0,0,27,zhu-jia,朱家,shiji-kb,0,0,42,,MED
zhu-jian,朱建,shiji-kb,0,0,0,33,ping-yuan-jun,平原君,shiji-kb,0,0,47,,MED
shao-jun,少君,shiji-kb,0,0,0,26,li-shao-jun,李少君,shiji-kb,0,0,41,,MED
li-jiang-jun,李将军,shiji-kb,0,0,0,25,li-guang,李广,shiji-kb,0,0,47,,MED
